image_id,split,class_label,name_cat
6736,test,1,pink primrose
6740,test,1,pink primrose
6760,test,1,pink primrose
6761,test,1,pink primrose
5094,test,2,hard-leaved pocket orchid
5100,test,2,hard-leaved pocket orchid
5104,test,2,hard-leaved pocket orchid
5117,test,2,hard-leaved pocket orchid
5130,test,2,hard-leaved pocket orchid
5134,test,2,hard-leaved pocket orchid
6616,test,3,canterbury bells
6625,test,3,canterbury bells
6648,test,3,canterbury bells
6650,test,3,canterbury bells
5629,test,4,sweet pea
5639,test,4,sweet pea
5648,test,4,sweet pea
5653,test,4,sweet pea
5656,test,4,sweet pea
5683,test,4,sweet pea
5150,test,5,english marigold
5152,test,5,english marigold
5157,test,5,english marigold
5184,test,5,english marigold
5201,test,5,english marigold
5202,test,5,english marigold
5206,test,5,english marigold
7172,test,6,tiger lily
7177,test,6,tiger lily
7181,test,6,tiger lily
7185,test,6,tiger lily
7197,test,6,tiger lily
7227,test,7,moon orchid
7233,test,7,moon orchid
8099,test,7,moon orchid
8104,test,7,moon orchid
3285,test,8,bird of paradise
3292,test,8,bird of paradise
3306,test,8,bird of paradise
3307,test,8,bird of paradise
3310,test,8,bird of paradise
3331,test,8,bird of paradise
3337,test,8,bird of paradise
3341,test,8,bird of paradise
6406,test,9,monkshood
6410,test,9,monkshood
6416,test,9,monkshood
6423,test,9,monkshood
7086,test,10,globe thistle
7088,test,10,globe thistle
7097,test,10,globe thistle
7120,test,10,globe thistle
8094,test,10,globe thistle
3106,test,11,snapdragon
3117,test,11,snapdragon
3118,test,11,snapdragon
3124,test,11,snapdragon
3158,test,11,snapdragon
3174,test,11,snapdragon
3176,test,11,snapdragon
3181,test,11,snapdragon
3994,test,12,colt's foot
4006,test,12,colt's foot
4038,test,12,colt's foot
4051,test,12,colt's foot
4054,test,12,colt's foot
4060,test,12,colt's foot
4065,test,12,colt's foot
4075,test,12,colt's foot
4078,test,12,colt's foot
5744,test,13,king protea
5754,test,13,king protea
5764,test,13,king protea
5768,test,13,king protea
5775,test,13,king protea
6049,test,14,spear thistle
6063,test,14,spear thistle
6065,test,14,spear thistle
6071,test,14,spear thistle
6078,test,14,spear thistle
6349,test,15,yellow iris
6361,test,15,yellow iris
6376,test,15,yellow iris
6392,test,15,yellow iris
6393,test,15,yellow iris
6652,test,16,globe-flower
6666,test,16,globe-flower
6677,test,16,globe-flower
6686,test,16,globe-flower
3833,test,17,purple coneflower
3837,test,17,purple coneflower
3845,test,17,purple coneflower
3861,test,17,purple coneflower
3867,test,17,purple coneflower
3868,test,17,purple coneflower
3879,test,17,purple coneflower
3911,test,17,purple coneflower
4249,test,18,peruvian lily
4253,test,18,peruvian lily
4254,test,18,peruvian lily
4256,test,18,peruvian lily
4276,test,18,peruvian lily
4287,test,18,peruvian lily
4314,test,18,peruvian lily
4319,test,18,peruvian lily
6156,test,19,balloon flower
6175,test,19,balloon flower
6177,test,19,balloon flower
6181,test,19,balloon flower
6187,test,19,balloon flower
4902,test,20,giant white arum lily
4906,test,20,giant white arum lily
4919,test,20,giant white arum lily
4934,test,20,giant white arum lily
4936,test,20,giant white arum lily
6775,test,21,fire lily
6784,test,21,fire lily
6791,test,21,fire lily
6800,test,21,fire lily
5358,test,22,pincushion flower
5362,test,22,pincushion flower
5368,test,22,pincushion flower
5384,test,22,pincushion flower
5388,test,22,pincushion flower
5392,test,22,pincushion flower
3370,test,23,fritillary
3375,test,23,fritillary
3391,test,23,fritillary
3404,test,23,fritillary
3415,test,23,fritillary
3428,test,23,fritillary
3449,test,23,fritillary
3453,test,23,fritillary
3454,test,23,fritillary
6814,test,24,red ginger
6842,test,24,red ginger
6848,test,24,red ginger
8048,test,24,red ginger
6600,test,25,grape hyacinth
6605,test,25,grape hyacinth
6607,test,25,grape hyacinth
6609,test,25,grape hyacinth
6495,test,26,corn poppy
6501,test,26,corn poppy
6509,test,26,corn poppy
6515,test,26,corn poppy
6851,test,27,prince of wales feathers
6862,test,27,prince of wales feathers
6879,test,27,prince of wales feathers
6884,test,27,prince of wales feathers
5215,test,28,stemless gentian
5223,test,28,stemless gentian
5235,test,28,stemless gentian
5248,test,28,stemless gentian
5260,test,28,stemless gentian
5269,test,28,stemless gentian
5271,test,28,stemless gentian
4085,test,29,artichoke
4091,test,29,artichoke
4105,test,29,artichoke
4117,test,29,artichoke
4120,test,29,artichoke
4128,test,29,artichoke
4139,test,29,artichoke
4151,test,29,artichoke
3481,test,30,sweet william
3487,test,30,sweet william
3496,test,30,sweet william
3509,test,30,sweet william
3519,test,30,sweet william
3524,test,30,sweet william
3527,test,30,sweet william
3538,test,30,sweet william
3539,test,30,sweet william
6897,test,31,carnation
6916,test,31,carnation
6918,test,31,carnation
8071,test,31,carnation
8074,test,31,carnation
5598,test,32,garden phlox
5605,test,32,garden phlox
5611,test,32,garden phlox
5616,test,32,garden phlox
6446,test,33,love in the mist
6456,test,33,love in the mist
6462,test,33,love in the mist
6466,test,33,love in the mist
6932,test,34,mexican aster
6949,test,34,mexican aster
6952,test,34,mexican aster
6965,test,34,mexican aster
6973,test,35,alpine sea holly
6982,test,35,alpine sea holly
6993,test,35,alpine sea holly
8086,test,35,alpine sea holly
8088,test,35,alpine sea holly
4331,test,36,ruby-lipped cattleya
4345,test,36,ruby-lipped cattleya
4362,test,36,ruby-lipped cattleya
4369,test,36,ruby-lipped cattleya
4375,test,36,ruby-lipped cattleya
4381,test,36,ruby-lipped cattleya
4386,test,36,ruby-lipped cattleya
3746,test,37,cape flower
3764,test,37,cape flower
3786,test,37,cape flower
3797,test,37,cape flower
3799,test,37,cape flower
3802,test,37,cape flower
3803,test,37,cape flower
3806,test,37,cape flower
3825,test,37,cape flower
7287,test,37,cape flower
7296,test,37,cape flower
5799,test,38,great masterwort
5802,test,38,great masterwort
5823,test,38,great masterwort
5840,test,38,great masterwort
5841,test,38,great masterwort
7021,test,39,siam tulip
7023,test,39,siam tulip
7028,test,39,siam tulip
7041,test,39,siam tulip
4559,test,40,lenten rose
4563,test,40,lenten rose
4565,test,40,lenten rose
4590,test,40,lenten rose
4596,test,40,lenten rose
4598,test,40,lenten rose
2211,test,41,barbeton daisy
2220,test,41,barbeton daisy
2224,test,41,barbeton daisy
2253,test,41,barbeton daisy
2258,test,41,barbeton daisy
2261,test,41,barbeton daisy
2264,test,41,barbeton daisy
2272,test,41,barbeton daisy
2273,test,41,barbeton daisy
2279,test,41,barbeton daisy
2286,test,41,barbeton daisy
2291,test,41,barbeton daisy
2293,test,41,barbeton daisy
5688,test,42,daffodil
5691,test,42,daffodil
5701,test,42,daffodil
5717,test,42,daffodil
5721,test,42,daffodil
5735,test,42,daffodil
2325,test,43,sword lily
2332,test,43,sword lily
2336,test,43,sword lily
2344,test,43,sword lily
2363,test,43,sword lily
